Folder Temperature Condition Column Mean "Std Dev"
D5-D5 320K/Energy "dist > 12" lig -13.462130534351145 9.076188423450867
D5-D5 320K/Energy "dist > 12" wat -210032.13086259537 200.48486905901947
D5-D5 320K/Energy "dist > 12" both-final -39.7929572519084 18.466558764067926
D5-D5 320K/Energy "dist > 12" lig-wat-final 24352.286103816805 1890.0948679153516
D5-D5 320K/Energy "dist > 12" pni-wat-final 30836.253833587794 937.239461055823
D5-D5 325K/Energy "dist < 12" pni -90.67315379746842 10.691480334679225
D5-D5 325K/Energy "dist < 12" lig -26.312715822784813 9.963601517181804
D5-D5 325K/Energy "dist < 12" wat -208967.03499620242 239.86030323264407
D5-D5 325K/Energy "dist < 12" both-final -49.90156835443037 17.86823580338121
D5-D5 325K/Energy "dist < 12" lig-wat-final 24912.54571645568 1783.969030864438
D5-D5 325K/Energy "dist < 12" pni-wat-final 30846.702013924052 993.178421489665
D5-D5 325K/Energy "dist > 12" pni -87.53210359712233 9.914332658982046
D5-D5 325K/Energy "dist > 12" lig -12.693617266187049 8.912634156487119
D5-D5 325K/Energy "dist > 12" wat -208935.4183568345 189.3836503297365
D5-D5 325K/Energy "dist > 12" both-final -38.12427194244604 16.479850564487233
D5-D5 325K/Energy "dist > 12" lig-wat-final 24703.4300122302 2194.8508435941817
D5-D5 325K/Energy "dist > 12" pni-wat-final 30914.44501582733 1060.679861757539
D5-D5 330K/Energy "dist < 12" pni -90.38209438202246 11.332238765919513
D5-D5 330K/Energy "dist < 12" lig -25.543414606741585 11.48663674857708
D5-D5 330K/Energy "dist < 12" wat -207828.15515955052 219.75102978237123
D5-D5 330K/Energy "dist < 12" both-final -47.61774494382023 15.995688216878742
D5-D5 330K/Energy "dist < 12" lig-wat-final 24725.91149325842 1748.253342067421
D5-D5 330K/Energy "dist < 12" pni-wat-final 31064.516791011243 997.7673392030526
D5-D5 330K/Energy "dist > 12" pni -83.76912067307696 10.025541035162885
D5-D5 330K/Energy "dist > 12" lig -12.117589903846154 7.983066074013888
D5-D5 330K/Energy "dist > 12" wat -207829.79151971155 224.4245588025809
D5-D5 330K/Energy "dist > 12" both-final -37.04383221153843 15.877124006556901
D5-D5 330K/Energy "dist > 12" lig-wat-final 24705.489378846156 2014.9382263824975
D5-D5 330K/Energy "dist > 12" pni-wat-final 30847.98656394232 1071.2478079563489
G5-G5 290K/Energy "dist < 12" pni -92.91692162162163 7.544774212553243
G5-G5 290K/Energy "dist < 12" lig -18.71342702702702 6.395776189523166
G5-G5 290K/Energy "dist < 12" wat -216727.03210540544 186.25882751647157
G5-G5 290K/Energy "dist < 12" both-final -55.71259729729729 16.988617872343017
G5-G5 290K/Energy "dist < 12" lig-wat-final 27723.92448108107 2742.882837244972
G5-G5 290K/Energy "dist < 12" pni-wat-final 31235.37937027027 789.5168885399767
G5-G5 290K/Energy "dist > 12" pni -80.71369961538458 6.592106595893413
G5-G5 290K/Energy "dist > 12" lig -3.5464953846153855 4.110111172502042
G5-G5 290K/Energy "dist > 12" wat -216678.51689923072 191.7261553871655
G5-G5 290K/Energy "dist > 12" both-final -40.62702961538462 13.761580392073359
G5-G5 290K/Energy "dist > 12" lig-wat-final 27477.210705769237 2767.0196514281215
G5-G5 290K/Energy "dist > 12" pni-wat-final 30900.06255384616 970.944497849891
G5-G5 295K/Energy "dist < 12" pni -93.44256444444446 8.362752767759947
G5-G5 295K/Energy "dist < 12" lig -18.818646666666663 6.732379549362482
G5-G5 295K/Energy "dist < 12" wat -215613.10519333338 231.30138528280187
G5-G5 295K/Energy "dist < 12" both-final -70.21386222222222 14.913699773016766
G5-G5 295K/Energy "dist < 12" lig-wat-final 27779.342061111107 2664.1170828176487
G5-G5 295K/Energy "dist < 12" pni-wat-final 31017.99435555555 1078.289195891596
G5-G5 295K/Energy "dist > 12" pni -80.32633285024151 7.3863517767689455
G5-G5 295K/Energy "dist > 12" lig -4.275678260869568 4.109242699613998
G5-G5 295K/Energy "dist > 12" wat -215561.5795410628 194.76674983726454
G5-G5 295K/Energy "dist > 12" both-final -39.110227536231896 12.40944550012013
G5-G5 295K/Energy "dist > 12" lig-wat-final 26466.3608545894 2700.062441269965
G5-G5 295K/Energy "dist > 12" pni-wat-final 30849.356751207717 961.1856371186271
G5-G5 300K/Energy "dist < 12" pni -93.80666638655465 7.618049176949429
G5-G5 300K/Energy "dist < 12" lig -21.65279159663865 7.105898530638147
G5-G5 300K/Energy "dist < 12" wat -214543.12596470598 207.2491259021632
G5-G5 300K/Energy "dist < 12" both-final -61.77728067226892 15.579018874115501
G5-G5 300K/Energy "dist < 12" lig-wat-final 27610.59454789917 2868.639257109005
G5-G5 300K/Energy "dist < 12" pni-wat-final 31160.767059663885 1032.5616681154952
G5-G5 300K/Energy "dist > 12" pni -80.35256067415727 6.664357666109655
G5-G5 300K/Energy "dist > 12" lig -3.6480775280898863 4.514030744014736
G5-G5 300K/Energy "dist > 12" wat -214518.2820842697 192.74117840379236
G5-G5 300K/Energy "dist > 12" both-final -35.49183483146069 11.74684413679466
G5-G5 300K/Energy "dist > 12" lig-wat-final 26781.145784831464 2537.0689189676445
G5-G5 300K/Energy "dist > 12" pni-wat-final 30790.73675617977 1005.7426786181093
G5-G5 305K/Energy "dist < 12" pni -93.74288585858585 7.660328373576584
G5-G5 305K/Energy "dist < 12" lig -20.7753898989899 7.677998740590492
G5-G5 305K/Energy "dist < 12" wat -213448.13209696973 185.0458258257268
G5-G5 305K/Energy "dist < 12" both-final -77.47257979797978 17.461953909676584
G5-G5 305K/Energy "dist < 12" lig-wat-final 27810.278355555558 2786.778652907599
G5-G5 305K/Energy "dist < 12" pni-wat-final 31004.261312121223 1045.8987762340846
G5-G5 305K/Energy "dist > 12" pni -80.5187181818181 6.900068589092829
G5-G5 305K/Energy "dist > 12" lig -4.03038888888889 4.266629550309161
G5-G5 305K/Energy "dist > 12" wat -213403.40286363626 193.1874051417557
G5-G5 305K/Energy "dist > 12" both-final -39.90755707070707 13.777719583359607
G5-G5 305K/Energy "dist > 12" lig-wat-final 26827.424142929303 2555.067527877164
G5-G5 305K/Energy "dist > 12" pni-wat-final 30940.689711616164 986.0050814246111
G5-G5 310K/Energy "dist < 12" pni -95.98292049180331 8.414726735740139
G5-G5 310K/Energy "dist < 12" lig -16.85449918032787 8.41899710211206
G5-G5 310K/Energy "dist < 12" wat -212394.095040164 201.79527494346917
G5-G5 310K/Energy "dist < 12" both-final -88.60564754098363 25.575549578969298
G5-G5 310K/Energy "dist < 12" lig-wat-final 27468.171869672136 2518.759204679633
G5-G5 310K/Energy "dist < 12" pni-wat-final 31007.580645901642 1037.5969887909523
G5-G5 310K/Energy "dist > 12" pni -80.11231542857149 7.012543260385892
G5-G5 310K/Energy "dist > 12" lig -3.727074285714286 4.4721840681089615
G5-G5 310K/Energy "dist > 12" wat -212309.4905582856 204.27256839884052
G5-G5 310K/Energy "dist > 12" both-final -40.98926514285715 13.969465407385702
G5-G5 310K/Energy "dist > 12" lig-wat-final 26438.40937485714 2606.7679957757555
G5-G5 310K/Energy "dist > 12" pni-wat-final 30896.02249657145 948.8098368543673
G5-G5 315K/Energy "dist < 12" pni -92.46526782608696 8.883557222495913
G5-G5 315K/Energy "dist < 12" lig -18.697681739130427 8.187498922379278
G5-G5 315K/Energy "dist < 12" wat -211254.61176695648 191.99474022425332
G5-G5 315K/Energy "dist < 12" both-final -71.84061565217391 15.9863633024744
G5-G5 315K/Energy "dist < 12" lig-wat-final 27720.75541739131 2863.018923543112
G5-G5 315K/Energy "dist < 12" pni-wat-final 30942.26510173913 1100.899782354358
G5-G5 315K/Energy "dist > 12" pni -79.68374340659345 7.4073991089271125
G5-G5 315K/Energy "dist > 12" lig -3.78444230769231 3.991234642142974
G5-G5 315K/Energy "dist > 12" wat -211220.67819175828 225.23428414347177
G5-G5 315K/Energy "dist > 12" both-final -44.22587307692309 15.123514183511862
G5-G5 315K/Energy "dist > 12" lig-wat-final 26611.462797802204 2819.748915152999
G5-G5 315K/Energy "dist > 12" pni-wat-final 30865.616640109893 919.5650819989075
G5-G5 320K/Energy "dist < 12" pni -97.35332243589745 9.823785382149065
G5-G5 320K/Energy "dist < 12" lig -17.12864358974359 8.887234096389221
G5-G5 320K/Energy "dist < 12" wat -210197.5734589744 199.06117758688305
G5-G5 320K/Energy "dist < 12" both-final -98.45773782051282 15.768129102216701
G5-G5 320K/Energy "dist < 12" lig-wat-final 27997.88528782051 2956.0294664727585
G5-G5 320K/Energy "dist < 12" pni-wat-final 30989.7525128205 1088.2529279263335
G5-G5 320K/Energy "dist > 12" pni -87.32665035460997 13.185096721551213
G5-G5 320K/Energy "dist > 12" lig -3.945154609929078 4.39634408208319
G5-G5 320K/Energy "dist > 12" wat -210169.3150241133 221.37301193324822
G5-G5 320K/Energy "dist > 12" both-final -60.33931843971632 32.55483418630921
G5-G5 320K/Energy "dist > 12" lig-wat-final 27136.215281560282 2777.064365714341
G5-G5 320K/Energy "dist > 12" pni-wat-final 30959.189276595724 1080.3883626447875
G5-G5 325K/Energy "dist < 12" pni -95.54010984251974 9.039528345216578
G5-G5 325K/Energy "dist < 12" lig -18.196562598425206 7.106594399435059
G5-G5 325K/Energy "dist < 12" wat -209075.61121141718 218.20661204312935
G5-G5 325K/Energy "dist < 12" both-final -86.2993484251968 22.760935739851597
G5-G5 325K/Energy "dist < 12" lig-wat-final 27769.834307480305 2774.1892338391303
G5-G5 325K/Energy "dist < 12" pni-wat-final 31051.111406692937 1051.3642181268242
G5-G5 325K/Energy "dist > 12" pni -83.93543488372092 10.744461083072474
G5-G5 325K/Energy "dist > 12" lig -4.6590139534883726 5.145118923359784
G5-G5 325K/Energy "dist > 12" wat -208992.2558255814 258.36806277829845
G5-G5 325K/Energy "dist > 12" both-final -42.81028837209303 22.318910133958575
