Folder Temperature Condition Column Mean "Std Dev"
C1 325K/Energy "dist < 12" lig -1.2402161290322586 2.9787253313138726
C1 325K/Energy "dist < 12" wat -209371.7376537634 186.57939488941494
C1 325K/Energy "dist < 12" both-final -27.884149462365585 8.085268126696256
C1 325K/Energy "dist < 12" lig-wat-final 21585.736282795704 1742.5396680842412
C1 325K/Energy "dist < 12" pni-wat-final 30940.601749462377 886.9004077175902
C1 325K/Energy "dist > 12" pni -89.8958411764706 12.893647394051788
C1 325K/Energy "dist > 12" lig 0.3185960784313724 2.1346153597021105
C1 325K/Energy "dist > 12" wat -209373.41713431373 228.772433218753
C1 325K/Energy "dist > 12" both-final -21.520393627450982 8.018471187940449
C1 325K/Energy "dist > 12" lig-wat-final 21660.44946568628 1728.731905172485
C1 325K/Energy "dist > 12" pni-wat-final 31007.232706862746 908.1954498363691
C1 330K/Energy "dist < 12" pni -102.04587352941175 15.199545744932918
C1 330K/Energy "dist < 12" lig 0.113064705882353 2.7700050845465154
C1 330K/Energy "dist < 12" wat -208307.18808823524 226.47835924781194
C1 330K/Energy "dist < 12" both-final -34.8970205882353 15.1024189077953
C1 330K/Energy "dist < 12" lig-wat-final 21912.695226470583 1694.1669802401539
C1 330K/Energy "dist < 12" pni-wat-final 30922.657811764704 987.370056768385
C1 330K/Energy "dist > 12" pni -90.5328231939164 13.180191653127137
C1 330K/Energy "dist > 12" lig 0.733114828897339 1.8787458085585207
C1 330K/Energy "dist > 12" wat -208294.68350836492 221.32387960596853
C1 330K/Energy "dist > 12" both-final -25.881838022813696 11.179130140671061
C1 330K/Energy "dist > 12" lig-wat-final 21608.153515969585 1638.9920529975896
C1 330K/Energy "dist > 12" pni-wat-final 30957.03376273763 1038.6825800694612
C3 290K/Energy "dist < 12" pni -97.63823677419354 10.095378957110274
C3 290K/Energy "dist < 12" lig -32.6921864516129 9.189777216206965
C3 290K/Energy "dist < 12" wat -216953.03159935484 191.0981913376491
C3 290K/Energy "dist < 12" both-final -47.092557419354826 19.577138652748882
C3 290K/Energy "dist < 12" lig-wat-final 82289.98376193552 3200.6140776174907
C3 290K/Energy "dist < 12" pni-wat-final 31224.361374193537 1053.4856405344535
C3 290K/Energy "dist > 12" pni -82.06520633802815 9.321432116617666
C3 290K/Energy "dist > 12" lig -12.764093661971831 5.553832536112284
C3 290K/Energy "dist > 12" wat -216900.50182464794 188.908782904348
C3 290K/Energy "dist > 12" both-final -37.41256760563382 15.650282687993862
C3 290K/Energy "dist > 12" lig-wat-final 82556.70839788731 3539.7578843221077
C3 290K/Energy "dist > 12" pni-wat-final 31087.940916901403 1029.6761461717429
C3 295K/Energy "dist < 12" pni -95.96503037974684 9.890183823060976
C3 295K/Energy "dist < 12" lig -22.669843037974683 7.7913860012308005
C3 295K/Energy "dist < 12" wat -215919.7984518988 201.309786181194
C3 295K/Energy "dist < 12" both-final -72.91586075949368 26.5102555805437
C3 295K/Energy "dist < 12" lig-wat-final 82328.4319949367 3245.494524301019
C3 295K/Energy "dist < 12" pni-wat-final 31254.690759493657 1010.7670174987563
C3 295K/Energy "dist > 12" pni -80.87652431192664 7.689307841765934
C3 295K/Energy "dist > 12" lig -11.91771284403669 4.877240496534123
C3 295K/Energy "dist > 12" wat -215809.52291605523 175.0090682659946
C3 295K/Energy "dist > 12" both-final -44.28026513761466 16.197209030552894
C3 295K/Energy "dist > 12" lig-wat-final 82449.42109082571 3517.676770876898
C3 295K/Energy "dist > 12" pni-wat-final 31078.274365137622 1063.831682706618
C3 300K/Energy "dist < 12" pni -94.5322458646616 9.996375981381359
C3 300K/Energy "dist < 12" lig -28.138281203007526 10.159061851932314
C3 300K/Energy "dist < 12" wat -214759.42568421052 188.60190670296717
C3 300K/Energy "dist < 12" both-final -65.8579120300752 23.42102296257554
C3 300K/Energy "dist < 12" lig-wat-final 82756.04999548876 3921.1027781766843
C3 300K/Energy "dist < 12" pni-wat-final 31095.813758646615 992.0871403276079
C3 300K/Energy "dist > 12" pni -82.66539817073172 8.93619992779402
C3 300K/Energy "dist > 12" lig -13.335913414634147 5.385522903157356
C3 300K/Energy "dist > 12" wat -214780.05249939018 196.8351585007499
C3 300K/Energy "dist > 12" both-final -42.12665670731707 16.31858955321802
C3 300K/Energy "dist > 12" lig-wat-final 82226.93729695123 3274.9335340698394
C3 300K/Energy "dist > 12" pni-wat-final 30964.95835182927 1065.977661143764
C3 305K/Energy "dist < 12" pni -98.78687999999998 9.351399515595292
